id,name,published,hls_url,hls_license,dash_url,dash_license,duration,code,created_at,updated_at,token
14936,21NCBSE06MAT09TH001_BLC_06MAT_CBSE21_ Data Handling_L1_V1,1,https://byju.s.llnwi.net/d/8c35330d/qh71xj/hls/h264.m3u8,J15TvWaPea1ZIb082ioQ0A,https://byju.s.llnwi.net/d/8c35330d/qh71xj/dash/h264.mpd,f5qhqeqUEvGzkGgRdjGxkg,3632.67993164063,qh71xj,1638425212,1638425219,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiZjVxaHFlcVVFdkd6a0dnUmRqR3hrZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vYnlqdS5zLmxsbndpLm5ldC9kLzhjMzUzMzBkL3FoNzF4ai9kYXNoL2gyNjQubXBkIn0sImhsc19kYXRhIjp7ImtleV9pZCI6IkoxNVR2V2FQZWExWkliMDgyaW9RMEEiLCJ2aWRlb191cmwiOiJodHRwczovL2J5anUucy5sbG53aS5uZXQvZC84YzM1MzMwZC9xaDcxeGovaGxzL2gyNjQubTN1OCJ9LCJleHAiOjE2NjA3Mjg4NDEsImlzcyI6InR1dG9yX3BsdXMiLCJpYXQiOjE2NjA3MjE2NDF9.6qY-fEVGu9n_inxDcN3CwiFETwluxv76p9v1R_D43Zk
13139,Life Processes-,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-67b34c48/qzgo3n/NEO/B4/21NCBSE10BIO01TH006_v01/hls/h264.m3u8,xLyZv3SRpI3PTQoy7GQIXw,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-67b34c48/qzgo3n/NEO/B4/21NCBSE10BIO01TH006_v01/dash/h264.mpd,J8A_r_GHSFe9nJbvXfAaLg,125.959999084473,21NCBSE10BIO01TH006_v01,1631698685,1631698695,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiSjhBX3JfR0hTRmU5bkpidlhmQWFMZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi02N2IzNGM0OC9xemdvM24vTkVPL0I0LzIxTkNCU0UxMEJJTzAxVEgwMDZfdjAxL2Rhc2gvaDI2NC5tcGQifSwiaGxzX2RhdGEiOnsia2V5X2lkIjoieEx5WnYzU1JwSTNQVFFveTdHUUlYdyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi02N2IzNGM0OC9xemdvM24vTkVPL0I0LzIxTkNCU0UxMEJJTzAxVEgwMDZfdjAxL2hscy9oMjY0Lm0zdTgifSwiZXhwIjoxNjYwNzI4ODQxLCJpc3MiOiJ0dXRvcl9wbHVzIiwiaWF0IjoxNjYwNzIxNjQxfQ.8bFlLBtx_pee0kNHK7JIYgIwMhxCE1tWKrGzaGRXMzs
17669,BTC_06MATH_CBSE22_Basic Geometrical Idea_Practice Lect._L1_V1,1,https://d27yfew3jd3yhj.cloudfront.net/videos/mpkgr-production-0b3c56c9/qlr62h/hls/h264.m3u8,znBgsuxC-GBcv9aDqmLrgg,https://d27yfew3jd3yhj.cloudfront.net/videos/mpkgr-production-0b3c56c9/qlr62h/dash/h264.mpd,EgGp3KRQwzXG1YIKLN62gw,2901.39990234375,qlr62h,1652248423,1652248428,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiRWdHcDNLUlF3elhHMVlJS0xONjJndyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvdmlkZW9zL21wa2dyLXByb2R1Y3Rpb24tMGIzYzU2YzkvcWxyNjJoL2Rhc2gvaDI2NC5tcGQifSwiaGxzX2RhdGEiOnsia2V5X2lkIjoiem5CZ3N1eEMtR0JjdjlhRHFtTHJnZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvdmlkZW9zL21wa2dyLXByb2R1Y3Rpb24tMGIzYzU2YzkvcWxyNjJoL2hscy9oMjY0Lm0zdTgifSwiZXhwIjoxNjYwNzI4ODQxLCJpc3MiOiJ0dXRvcl9wbHVzIiwiaWF0IjoxNjYwNzIxNjQxfQ.-CMINOy1yeI8TjrFC8o6P2gM-uTraQD41Ztochy__S8
5331,Crop Production and Management - Session 3-topic-id-316637,1,https://d27yfew3jd3yhj.cloudfront.net/videos/mpkgr-production-1b7ec906/qlqi6j/hls/h264.m3u8,eSCGasDk10cUNdE2VJCtvw,https://d27yfew3jd3yhj.cloudfront.net/videos/mpkgr-production-1b7ec906/qlqi6j/dash/h264.mpd,LREy6EpK3zJhzgd20oOxXA,3899.80004882813,qlqi6j,1619029604,1629480279,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiTFJFeTZFcEszekpoemdkMjBvT3hYQSIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvdmlkZW9zL21wa2dyLXByb2R1Y3Rpb24tMWI3ZWM5MDYvcWxxaTZqL2Rhc2gvaDI2NC5tcGQifSwiaGxzX2RhdGEiOnsia2V5X2lkIjoiZVNDR2FzRGsxMGNVTmRFMlZKQ3R2dyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvdmlkZW9zL21wa2dyLXByb2R1Y3Rpb24tMWI3ZWM5MDYvcWxxaTZqL2hscy9oMjY0Lm0zdTgifSwiZXhwIjoxNjYwNzI4ODQxLCJpc3MiOiJ0dXRvcl9wbHVzIiwiaWF0IjoxNjYwNzIxNjQxfQ.-92d3w5g6Tl7J8StuDXGbGcOOmsB_wteYlmYK75zc_k
15177,21NICSE06BIO01TH001_BLC_06SCI_ICSE21_The Leaf_media ready _L1_V4,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-3b38ad83/qxmi72/CBSE_Concept_06/B6/15C06B03S02_Leaf/hls/h264.m3u8,36YrCmukbMsSZkbvFdt8Tw,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-3b38ad83/qxmi72/CBSE_Concept_06/B6/15C06B03S02_Leaf/dash/h264.mpd,f5qhqeqUEvGzkGgRdjGxkg,743.799987792969,15C06B03S02_Leaf,1638857077,1638857082,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiZjVxaHFlcVVFdkd6a0dnUmRqR3hrZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi0zYjM4YWQ4My9xeG1pNzIvQ0JTRV9Db25jZXB0XzA2L0I2LzE1QzA2QjAzUzAyX0xlYWYvZGFzaC9oMjY0Lm1wZCJ9LCJobHNfZGF0YSI6eyJrZXlfaWQiOiIzNllyQ211a2JNc1Naa2J2RmR0OFR3IiwidmlkZW9fdXJsIjoiaHR0cHM6Ly9kMjd5ZmV3M2pkM3loai5jbG91ZGZyb250Lm5ldC9tcGtnci1wcm9kdWN0aW9uLTNiMzhhZDgzL3F4bWk3Mi9DQlNFX0NvbmNlcHRfMDYvQjYvMTVDMDZCMDNTMDJfTGVhZi9obHMvaDI2NC5tM3U4In0sImV4cCI6MTY2MDcyODg0MSwiaXNzIjoidHV0b3JfcGx1cyIsImlhdCI6MTY2MDcyMTY0MX0.LYxnl2hpv4TW6Ceabfel3W_pe_Z0sEFGq1GOJKG3PaA
13933,21NCBSE07MAT06TH001_BLC_The Triangle and Its Properties_L1_V5,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-1caf71ec/qxewcd/CBSE_Concept_07/B6/17C07M06S05_Sides_also_have_constraints/hls/h264.m3u8,eSCGasDk10cUNdE2VJCtvw,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-1caf71ec/qxewcd/CBSE_Concept_07/B6/17C07M06S05_Sides_also_have_constraints/dash/h264.mpd,JjCpWETFO3DztMtyqETmFw,558.599975585938,17C07M06S05_Sides_also_have_constraints,1637162420,1637162510,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiSmpDcFdFVEZPM0R6dE10eXFFVG1GdyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi0xY2FmNzFlYy9xeGV3Y2QvQ0JTRV9Db25jZXB0XzA3L0I2LzE3QzA3TTA2UzA1X1NpZGVzX2Fsc29faGF2ZV9jb25zdHJhaW50cy9kYXNoL2gyNjQubXBkIn0sImhsc19kYXRhIjp7ImtleV9pZCI6ImVTQ0dhc0RrMTBjVU5kRTJWSkN0dnciLCJ2aWRlb191cmwiOiJodHRwczovL2QyN3lmZXczamQzeWhqLmNsb3VkZnJvbnQubmV0L21wa2dyLXByb2R1Y3Rpb24tMWNhZjcxZWMvcXhld2NkL0NCU0VfQ29uY2VwdF8wNy9CNi8xN0MwN00wNlMwNV9TaWRlc19hbHNvX2hhdmVfY29uc3RyYWludHMvaGxzL2gyNjQubTN1OCJ9LCJleHAiOjE2NjA3Mjg4NDEsImlzcyI6InR1dG9yX3BsdXMiLCJpYXQiOjE2NjA3MjE2NDF9.9DH--QmIGaU-VjM3XW9BwwC4NxU1_I_mNb8wTN_PYN0
3450,Microorganisms - Session 3-topic-id-413776,1,https://byju.s.llnwi.net/d/083641a9/qljyq9/hls/h264.m3u8,mMS1wil_-VuuaCz83j-yzA,https://byju.s.llnwi.net/d/083641a9/qljyq9/dash/h264.mpd,I5w2vQjEo8ykupg2uZDeWQ,4166.47998046875,qljyq9,1619028676,1629737092,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiSTV3MnZRakVvOHlrdXBnMnVaRGVXUSIsInZpZGVvX3VybCI6Imh0dHBzOi8vYnlqdS5zLmxsbndpLm5ldC9kLzA4MzY0MWE5L3FsanlxOS9kYXNoL2gyNjQubXBkIn0sImhsc19kYXRhIjp7ImtleV9pZCI6Im1NUzF3aWxfLVZ1dWFDejgzai15ekEiLCJ2aWRlb191cmwiOiJodHRwczovL2J5anUucy5sbG53aS5uZXQvZC8wODM2NDFhOS9xbGp5cTkvaGxzL2gyNjQubTN1OCJ9LCJleHAiOjE2NjA3Mjg4NDEsImlzcyI6InR1dG9yX3BsdXMiLCJpYXQiOjE2NjA3MjE2NDF9.bzdtp_wApIMkEE5eepg_aOSyd-5ACIW0O-KS4NRDhi8
12845,21NCBSE09CHE02TH004_Is Matter Around Us Pure?,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-c80bbfdd/qx1ok5/CBSE_Concept_09/B2/15C09C02S06_Suspensions/hls/h264.m3u8,znBgsuxC-GBcv9aDqmLrgg,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-c80bbfdd/qx1ok5/CBSE_Concept_09/B2/15C09C02S06_Suspensions/dash/h264.mpd,f5qhqeqUEvGzkGgRdjGxkg,99.0400009155273,15C09C02S06_Suspensions,1631086823,1631086837,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiZjVxaHFlcVVFdkd6a0dnUmRqR3hrZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi1jODBiYmZkZC9xeDFvazUvQ0JTRV9Db25jZXB0XzA5L0IyLzE1QzA5QzAyUzA2X1N1c3BlbnNpb25zL2Rhc2gvaDI2NC5tcGQifSwiaGxzX2RhdGEiOnsia2V5X2lkIjoiem5CZ3N1eEMtR0JjdjlhRHFtTHJnZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi1jODBiYmZkZC9xeDFvazUvQ0JTRV9Db25jZXB0XzA5L0IyLzE1QzA5QzAyUzA2X1N1c3BlbnNpb25zL2hscy9oMjY0Lm0zdTgifSwiZXhwIjoxNjYwNzI4ODQxLCJpc3MiOiJ0dXRvcl9wbHVzIiwiaWF0IjoxNjYwNzIxNjQxfQ.I14rkckaZDr9i9MazynhZKX77NzAmeIFR_j-_HUBzP0
16389,BLC_09PHY_ICSE21_Current Electricity _L1_V1,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-dab07576/qwpk15/NEO/210723/15C08P05S02_Static_Charges/hls/h264.m3u8,znBgsuxC-GBcv9aDqmLrgg,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-dab07576/qwpk15/NEO/210723/15C08P05S02_Static_Charges/dash/h264.mpd,vdreilBYtDygAL1O0sPIfw,1972.76000976563,15C08P05S02_Static_Charges,1642612828,1642612832,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoidmRyZWlsQll0RHlnQUwxTzBzUElmdyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi1kYWIwNzU3Ni9xd3BrMTUvTkVPLzIxMDcyMy8xNUMwOFAwNVMwMl9TdGF0aWNfQ2hhcmdlcy9kYXNoL2gyNjQubXBkIn0sImhsc19kYXRhIjp7ImtleV9pZCI6InpuQmdzdXhDLUdCY3Y5YURxbUxyZ2ciLCJ2aWRlb191cmwiOiJodHRwczovL2QyN3lmZXczamQzeWhqLmNsb3VkZnJvbnQubmV0L21wa2dyLXByb2R1Y3Rpb24tZGFiMDc1NzYvcXdwazE1L05FTy8yMTA3MjMvMTVDMDhQMDVTMDJfU3RhdGljX0NoYXJnZXMvaGxzL2gyNjQubTN1OCJ9LCJleHAiOjE2NjA3Mjg4NDEsImlzcyI6InR1dG9yX3BsdXMiLCJpYXQiOjE2NjA3MjE2NDF9.QvDtjvr7Evagv0p3MmA4juiSyAfjLiFMIgmmwAIYcCo
11765,19CBSE04SCI13ST004VC001	Soluble or Insoluble,1,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-9ae79291/qy8d7m/NEO/B3/19CBSE04SCI13ST004VC001_A_Closer_look/hls/h264.m3u8,eSCGasDk10cUNdE2VJCtvw,https://d27yfew3jd3yhj.cloudfront.net/mpkgr-production-9ae79291/qy8d7m/NEO/B3/19CBSE04SCI13ST004VC001_A_Closer_look/dash/h264.mpd,BUsQdrFFFoE1qcenQQK3Sg,606.159973144531,19CBSE04SCI13ST004VC001_A_Closer_look,1629697445,1629741382,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkYXNoX2RhdGEiOnsia2V5X2lkIjoiQlVzUWRyRkZGb0UxcWNlblFRSzNTZyIsInZpZGVvX3VybCI6Imh0dHBzOi8vZDI3eWZldzNqZDN5aGouY2xvdWRmcm9udC5uZXQvbXBrZ3ItcHJvZHVjdGlvbi05YWU3OTI5MS9xeThkN20vTkVPL0IzLzE5Q0JTRTA0U0NJMTNTVDAwNFZDMDAxX0FfQ2xvc2VyX2xvb2svZGFzaC9oMjY0Lm1wZCJ9LCJobHNfZGF0YSI6eyJrZXlfaWQiOiJlU0NHYXNEazEwY1VOZEUyVkpDdHZ3IiwidmlkZW9fdXJsIjoiaHR0cHM6Ly9kMjd5ZmV3M2pkM3loai5jbG91ZGZyb250Lm5ldC9tcGtnci1wcm9kdWN0aW9uLTlhZTc5MjkxL3F5OGQ3bS9ORU8vQjMvMTlDQlNFMDRTQ0kxM1NUMDA0VkMwMDFfQV9DbG9zZXJfbG9vay9obHMvaDI2NC5tM3U4In0sImV4cCI6MTY2MDcyODg0MSwiaXNzIjoidHV0b3JfcGx1cyIsImlhdCI6MTY2MDcyMTY0MX0.VN8Rz6mbT3Y5tn0mukAiNSjMjsOXhO3BFBjFGQGEZIo
